College,Major,FresM,FresF,SophM,SophF,JuniM,JuniF,SeniM,SeniF,Non-Degree (M),Non-Degree (F),Total (Both),Semester
Agriculture and Life Sciences,Agriculture Specials,0,0,0,0,0,0,0,0,58,52,110,f15
Agriculture and Life Sciences,Agriculture Certificate (Non-Degree),0,0,0,0,0,0,0,0,1,0,1,f15
Agriculture and Life Sciences,Agricultural and Life Sciences Education,3,32,6,29,12,40,10,42,0,0,174,f15
Agriculture and Life Sciences,Agricultural Biochemistry,7,3,2,0,3,4,5,2,0,0,26,f15
Agriculture and Life Sciences,Agricultural Business,79,41,95,35,87,42,92,41,0,0,512,f15
Agriculture and Life Sciences,Agricultural Studies,48,7,69,13,104,34,99,23,0,0,397,f15
Agriculture and Life Sciences,Agricultural Systems Technology,18,3,57,3,62,3,64,3,0,0,213,f15
Agriculture and Life Sciences,Agriculture and Life Sciences Exploration,19,20,11,6,2,0,0,2,0,0,60,f15
Agriculture and Life Sciences,Agriculture and Society,0,2,2,9,0,6,1,2,0,0,22,f15
Agriculture and Life Sciences,Agronomy,33,16,47,25,57,34,80,32,0,0,324,f15
Agriculture and Life Sciences,Animal Ecology,22,45,30,63,35,61,37,79,0,0,372,f15
Agriculture and Life Sciences,Animal Science,55,143,51,203,51,177,74,223,0,0,977,f15
Agriculture and Life Sciences,Biology (AGLS),17,46,17,43,28,54,29,57,0,0,291,f15
Agriculture and Life Sciences,Culinary Science - Agriculture,2,4,2,0,0,3,1,4,0,0,16,f15
Agriculture and Life Sciences,Dairy Science,0,4,3,4,3,8,7,15,0,0,44,f15
Agriculture and Life Sciences,Dietetics (AGLS),0,0,0,0,1,4,0,8,0,0,13,f15
Agriculture and Life Sciences,Environmental Science (AGLS),6,8,9,3,13,12,24,18,0,0,93,f15
Agriculture and Life Sciences,Food Science (AGLS),7,19,7,10,8,13,4,14,0,0,82,f15
Agriculture and Life Sciences,Forestry,9,2,8,2,23,7,31,5,0,0,87,f15
Agriculture and Life Sciences,General Preveterinary Medicine,9,56,0,7,2,15,1,1,0,0,91,f15
Agriculture and Life Sciences,Genetics (AGLS),5,17,3,9,3,15,10,12,0,0,74,f15
Agriculture and Life Sciences,Global Resource Systems,2,7,1,9,8,15,10,22,0,0,74,f15
Agriculture and Life Sciences,Horticulture,11,8,16,9,20,13,25,18,0,0,120,f15
Agriculture and Life Sciences,Industrial Technology,29,2,49,0,72,5,96,7,0,0,260,f15
Agriculture and Life Sciences,Insect Science,0,0,0,0,0,0,1,2,0,0,3,f15
Agriculture and Life Sciences,Microbiology,14,14,5,21,14,11,12,35,0,0,126,f15
Agriculture and Life Sciences,Nutritional Science (AGLS),0,4,1,2,1,3,0,6,0,0,17,f15
Agriculture and Life Sciences,Pre-Diet and Exercise (AGLS),0,2,0,0,0,0,0,0,0,0,2,f15
Agriculture and Life Sciences,Pre-Dietetics (AGLS),0,8,1,7,0,1,1,0,0,0,18,f15
Agriculture and Life Sciences,Public Service and Administration in Agriculture,0,0,0,0,2,6,2,3,0,0,13,f15
Business,Business Specials (Non-Degree),0,0,0,0,0,0,0,0,5,11,16,f15
Business,Accounting,0,1,27,19,64,63,123,108,0,0,405,f15
Business,Business Economics,0,0,1,3,2,0,10,2,0,0,18,f15
Business,Business Undeclared,0,0,4,5,10,5,3,0,0,0,27,f15
Business,Finance,1,1,37,20,116,40,165,68,0,0,448,f15
Business,Management,1,0,10,3,32,29,80,55,0,0,210,f15
Business,Management Information Systems,0,1,11,6,57,10,147,24,0,0,256,f15
Business,Marketing,0,0,17,25,71,85,123,124,0,0,445,f15
Business,Pre-Business,573,283,500,214,269,132,45,12,0,0,2028,f15
Business,Supply Chain Management,5,0,27,10,65,23,125,53,0,0,308,f15
Design,Design Certificate (Non-Degree),0,0,0,0,0,0,0,0,0,1,1,f15
Design,Design Specials (Non-Degree),0,0,0,0,0,0,0,0,4,2,6,f15
Design,Architecture-Professional Degree,0,0,36,30,43,31,95,73,0,0,308,f15
Design,Art and Design (Bachelor of Arts),0,0,3,5,1,2,2,3,0,0,16,f15
Design,Community and Regional Planning,3,1,9,3,16,11,18,6,0,0,67,f15
Design,Design,2,6,7,6,15,16,20,14,0,0,86,f15
Design,Design Undeclared,12,42,5,8,3,2,0,1,0,0,73,f15
Design,Graphic Design,0,0,17,54,16,47,26,63,0,0,223,f15
Design,Industrial Design,3,1,32,14,45,13,41,16,0,0,165,f15
Design,Integrated Studio Arts,1,0,6,18,7,20,12,25,0,0,89,f15
Design,Interior Design,0,1,15,41,8,44,3,64,0,0,176,f15
Design,Landscape Architecture,0,0,16,12,12,17,37,35,0,0,129,f15
Design,Pre-Architecture,98,67,15,8,5,4,0,0,0,0,197,f15
Design,Pre-Community and Regional Planning,2,6,1,1,0,0,0,0,0,0,10,f15
Design,Pre-Graphic Design,17,51,6,20,3,3,1,0,0,0,101,f15
Design,Pre-Industrial Design,35,8,10,1,2,0,0,0,0,0,56,f15
Design,Pre-Integrated Studio Arts,1,6,0,1,0,1,0,0,0,0,9,f15
Design,Pre-Interior Design,4,26,2,7,1,2,0,0,0,0,42,f15
Design,Pre-Landscape Architecture,6,7,3,0,0,1,0,0,0,0,17,f15
Engineering,Engineering Specials (Non-Degree),0,0,0,0,0,0,0,0,33,7,40,f15
Engineering,Aerospace Engineering,208,17,158,17,125,17,225,33,0,0,800,f15
Engineering,Agricultural Engineering,60,11,38,11,36,2,52,11,0,0,221,f15
Engineering,Biological Systems Engineering,16,16,7,7,9,11,14,17,0,0,97,f15
Engineering,Chemical Engineering,137,60,110,52,127,49,206,83,0,0,824,f15
Engineering,Civil Engineering,117,29,123,25,126,39,224,51,0,0,734,f15
Engineering,Computer Engineering,202,14,139,15,146,8,182,19,0,0,725,f15
Engineering,Construction Engineering,35,8,69,7,65,11,86,16,0,0,297,f15
Engineering,Electrical Engineering,133,15,107,9,128,15,185,22,0,0,614,f15
Engineering,Engineering,365,101,54,10,8,2,3,0,0,0,543,f15
Engineering,Industrial Engineering,63,24,90,35,80,39,134,49,0,0,514,f15
Engineering,Materials Engineering,34,7,45,16,51,14,84,15,0,0,266,f15
Engineering,Mechanical Engineering,441,43,420,39,398,44,596,66,0,0,2047,f15
Engineering,Software Engineering,42,3,62,9,45,6,54,6,0,0,227,f15
Human Sciences,Human Sciences Special (Non-Degree),0,0,0,0,0,0,0,0,8,22,30,f15
Human Sciences,"Apparel, Merchandising, and Design",5,107,11,103,5,125,3,125,0,0,484,f15
Human Sciences,Athletic Training,1,0,11,6,9,12,16,12,0,0,67,f15
Human Sciences,Child & Family Services,3,27,4,75,9,109,8,147,0,0,382,f15
Human Sciences,Culinary Science - Human Sciences,3,3,1,6,5,6,2,12,0,0,38,f15
Human Sciences,Dietetics (H SCI),0,0,0,0,4,34,11,88,0,0,137,f15
Human Sciences,Early Childhood Education,0,27,1,30,1,30,0,50,0,0,139,f15
Human Sciences,Elementary Education,10,112,20,160,23,186,28,230,0,0,769,f15
Human Sciences,Event Management,0,60,8,81,5,89,7,111,0,0,361,f15
Human Sciences,Family and Consumer Science Education and Studies,0,9,1,20,1,20,2,46,0,0,99,f15
Human Sciences,Financial Counseling and Planning,1,0,0,5,5,3,1,15,0,0,30,f15
Human Sciences,Food Science (H SCI),4,4,4,7,4,10,5,13,0,0,51,f15
Human Sciences,Hospitality Management,14,11,10,25,11,31,20,28,0,0,150,f15
Human Sciences,Human Sciences,2,30,3,4,0,2,0,0,0,0,41,f15
Human Sciences,Kinesiology and Health,98,111,98,149,146,187,194,225,0,0,1208,f15
Human Sciences,Nutritional Science (H SCI),2,5,2,13,4,30,4,26,0,0,86,f15
Human Sciences,Pre-Athletic Training,20,38,3,6,3,4,0,0,0,0,74,f15
Human Sciences,Pre-Diet and Exercise (H SCI),2,8,0,7,0,7,1,7,0,0,32,f15
Human Sciences,Pre-Dietetics (H SCI),3,28,4,29,4,23,4,6,0,0,101,f15
Human Sciences,Pre-Early Childcare Education and Programming,0,0,0,0,0,3,0,8,0,0,11,f15
Liberal Arts and Sciences,Intensive English and Orientation Program LAS,0,0,0,0,0,0,0,0,39,27,66,f15
Liberal Arts and Sciences,Liberal Arts and Sciences Specials (Non-Degree),0,0,0,0,0,0,0,0,133,111,244,f15
Liberal Arts and Sciences,Advertising,11,12,16,34,40,29,33,49,0,0,224,f15
Liberal Arts and Sciences,Anthropology,3,6,4,6,5,7,5,14,0,0,50,f15
Liberal Arts and Sciences,Biochemistry,21,16,12,8,29,18,18,22,0,0,144,f15
Liberal Arts and Sciences,Bioinformatics and Computational Biology,0,3,3,3,3,3,2,1,0,0,18,f15
Liberal Arts and Sciences,Biological/Pre-Medical Illustration,0,0,0,0,0,4,3,11,0,0,18,f15
Liberal Arts and Sciences,Biology,31,62,38,56,39,54,61,75,0,0,416,f15
Liberal Arts and Sciences,Biophysics,0,1,1,1,1,1,2,2,0,0,9,f15
Liberal Arts and Sciences,Chemistry,23,16,7,11,23,20,27,26,0,0,153,f15
Liberal Arts and Sciences,Communication Studies,3,16,8,30,19,44,37,55,0,0,212,f15
Liberal Arts and Sciences,Computer Science,8,0,58,3,63,6,106,13,0,0,257,f15
Liberal Arts and Sciences,Earth Science,0,2,0,1,3,1,4,1,0,0,12,f15
Liberal Arts and Sciences,Economics,9,2,21,5,17,6,21,10,0,0,91,f15
Liberal Arts and Sciences,English,9,24,17,27,16,52,36,69,0,0,250,f15
Liberal Arts and Sciences,Environmental Science (LAS),12,8,4,4,10,8,12,9,0,0,67,f15
Liberal Arts and Sciences,Genetics (LAS),4,17,10,12,12,15,17,23,0,0,110,f15
Liberal Arts and Sciences,Geology,6,5,7,8,14,5,11,3,0,0,59,f15
Liberal Arts and Sciences,History,18,10,42,17,40,21,71,28,0,0,247,f15
Liberal Arts and Sciences,Interdisciplinary Studies,43,34,57,35,77,43,60,29,0,0,378,f15
